sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,detail_type,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,total_wagers,total_handle
Motor Race,Online Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,Wager Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor Race,Online Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,Handle Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor Race,Online Wagering,"Casino Queen, Inc.",1660,9161.25,3,125,January,1,2021,Wager Details,2766,1961656,134743,2223140,120223,236870,251716,75762,2602498,197247,1663,0,0,0,1663,9286.25
Motor Race,Online Wagering,"Casino Queen, Inc.",1660,9161.25,3,125,January,1,2021,Handle Details,78646.15,92590892.96,3567430.29,69335244.06,2080297.55,7571451.22,12710205.62,4476511.15,47210285.82,3908592.14,9286.25,0,0,0,1663,9286.25
Motor Race,Online Wagering,Elgin Riverboat Resort,18,97,0,0,January,1,2021,Wager Details,52,30903,973,24235,436,3474,2736,151,0,85,18,0,0,0,18,97
Motor Race,Online Wagering,Elgin Riverboat Resort,18,97,0,0,January,1,2021,Handle Details,1608.04,4061914.35,49066.42,4348569.57,33162.27,219340.49,179030.04,22994.42,0,1413.4,97,0,0,0,18,97
Motor Race,Online Wagering,"Hawthorne Race Course, Inc.",51,712.9,0,0,January,1,2021,Wager Details,443,209990,9954,145305,11407,28355,29255,6645,176622,61104,51,0,0,0,51,712.9
Motor Race,Online Wagering,"Hawthorne Race Course, Inc.",51,712.9,0,0,January,1,2021,Handle Details,17120.36,17750973.18,394724.63,8828273.9,255984.97,1634462.34,2806063.45,1116016.6,6173519.12,1461582.08,712.9,0,0,0,51,712.9
Motor Race,Online Wagering,"HC Aurora, LLC",0,0,0,0,January,1,2021,Wager Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor Race,Online Wagering,"HC Aurora, LLC",0,0,0,0,January,1,2021,Handle Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor Race,Online Wagering,"HC Joliet, LLC",0,0,0,0,January,1,2021,Wager Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor Race,Online Wagering,"HC Joliet, LLC",0,0,0,0,January,1,2021,Handle Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor Race,Online Wagering,"Midwest Gaming & Entertainment, LLC",93,589.8,0,0,January,1,2021,Wager Details,1074,886960,36290,654391,32590,128553,179303,41447,194527,1552,93,0,0,0,93,589.8
Motor Race,Online Wagering,"Midwest Gaming & Entertainment, LLC",93,589.8,0,0,January,1,2021,Handle Details,50557.82,51040185.7,1448109.84,34638965.02,578967.54,4096663.37,7997767.67,3668746.56,5375950.8,94327.44,589.8,0,0,0,93,589.8
Motor Race,Online Wagering,Par-A-Dice Gaming Corporation,378,2483.51,0,0,January,1,2021,Wager Details,1623,1366804,93977,1212171,53572,145803,127850,47502,3748853,56120,378,0,0,0,378,2483.51
Motor Race,Online Wagering,Par-A-Dice Gaming Corporation,378,2483.51,0,0,January,1,2021,Handle Details,38195.45,60984779.83,2332982.38,40425591.42,1019764.24,4132594.58,6062147.25,4272902.37,50046247.86,4028472.41,2483.51,0,0,0,378,2483.51
Motor Race,Total,"Alton Casino, LLC",6,45,0,0,January,1,2021,Wager Details,12,3446,99,1178,207,596,80,2,971,0,6,0,0,0,6,45
Motor Race,Total,"Alton Casino, LLC",6,45,0,0,January,1,2021,Handle Details,786.5,516410.28,5597.55,121715.15,3584.89,17476.78,5416.14,291.07,35756.8,0,45,0,0,0,6,45
Motor Race,Total,"Casino Queen, Inc.",1666,9180.25,3,125,January,1,2021,Wager Details,2799,1966475,134848,2224735,120331,237706,252044,75766,2604115,197247,1669,0,0,0,1669,9305.25
