sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,total_wager,total_handle
Professional,Online Wagering,"HC Joliet, LLC",0,0,0,0,March,3,2021,0,0
Professional,Online Wagering,"Midwest Gaming & Entertainment, LLC",678680,19520463.45,592153,34279270.41,March,3,2021,1270833,53799733.86
Professional,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,March,3,2021,0,0
Professional,Total,"Alton Casino, LLC",13040,852781.18,8105,1346211.29,March,3,2021,21145,2198992.47
Professional,Total,"Casino Queen, Inc.",1825070,40583641.17,2045137,70062199.12,March,3,2021,3870207,110645840.3
Professional,Total,Elgin Riverboat Resort,40153,4165520.24,903,76209,March,3,2021,41056,4241729.24
Professional,Total,"Fairmount Park, Inc.",4210689,69248897,2320801,66278024,March,3,2021,6531490,135526921
Professional,Total,"Hawthorne Race Course, Inc.",328560,12987060.64,124212,19650937.95,March,3,2021,452772,32637998.59
Professional,Total,"HC Aurora, LLC",76061,5393509.35,512606,19983682.1,March,3,2021,588667,25377191.45
Professional,Total,"HC Joliet, LLC",5221,417667.27,3158,206405.97,March,3,2021,8379,624073.24
Professional,Total,"Midwest Gaming & Entertainment, LLC",708323,23665530.97,612144,37247595.58,March,3,2021,1320467,60913126.55
Professional,Total,Par-A-Dice Gaming Corporation,2947,213574.93,1012,71934.82,March,3,2021,3959,285509.75
College,In-Person Wagering,"Alton Casino, LLC",8619,947717.63,3265,913489.32,March,3,2021,11884,1861206.95
College,In-Person Wagering,"Casino Queen, Inc.",14363,1154252,3384,375726.11,March,3,2021,17747,1529978.11
College,In-Person Wagering,Elgin Riverboat Resort,3108,584295.54,6,249,March,3,2021,3114,584544.54
College,In-Person Wagering,"Fairmount Park, Inc.",1119,144092,240,24996,March,3,2021,1359,169088
College,In-Person Wagering,"Hawthorne Race Course, Inc.",9995,738632.1,0,0,March,3,2021,9995,738632.1
College,In-Person Wagering,"HC Aurora, LLC",3927,304133.37,1420,190148.26,March,3,2021,5347,494281.63
College,In-Person Wagering,"HC Joliet, LLC",3617,443639.89,1323,169753.4,March,3,2021,4940,613393.29
College,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",17905,2597622.63,7091,1460434.79,March,3,2021,24996,4058057.42
College,In-Person Wagering,Par-A-Dice Gaming Corporation,1229,284191.5,172,57770,March,3,2021,1401,341961.5
College,Online Wagering,"Alton Casino, LLC",0,0,0,0,March,3,2021,0,0
College,Online Wagering,"Casino Queen, Inc.",1758051,46457358.75,964007,48612384.92,March,3,2021,2722058,95069743.67
College,Online Wagering,Elgin Riverboat Resort,44912,9261393.59,352,55428.63,March,3,2021,45264,9316822.22
College,Online Wagering,"Fairmount Park, Inc.",772775,30495488,365761,28852091,March,3,2021,1138536,59347579
College,Online Wagering,"Hawthorne Race Course, Inc.",223840,11574359.52,88155,9974234.3,March,3,2021,311995,21548593.82
College,Online Wagering,"HC Aurora, LLC",195390,12612536,136458,10329926,March,3,2021,331848,22942462
College,Online Wagering,"HC Joliet, LLC",0,0,0,0,March,3,2021,0,0
College,Online Wagering,"Midwest Gaming & Entertainment, LLC",541917,21953765.08,242946,19800616.23,March,3,2021,784863,41754381.31
College,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,March,3,2021,0,0
College,Total,"Alton Casino, LLC",8619,947717.63,3265,913489.32,March,3,2021,11884,1861206.95
College,Total,"Casino Queen, Inc.",1772414,47611610.75,967391,48988111.03,March,3,2021,2739805,96599721.78
