detail_type,location_type,licensee,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,month,numerical_month,year
Handle Details,Total,"Midwest Gaming & Entertainment, LLC",1069921.42,71607619.82,1786883.61,100439.16,1662920.17,7519745.32,7957480.49,9890137.56,4910067.93,220349.8,134750.52,0,0,0,March,3,2021
Handle Details,Total,Par-A-Dice Gaming Corporation,2510,398047,28040.25,240,4740,14216,4405,2590,171263,1420,815,0,0,0,March,3,2021
Wager Details,In-Person Wagering,"Alton Casino, LLC",6686,12334,337,230,1591,2117,496,81,7153,7,221,0,0,0,April,4,2021
Wager Details,In-Person Wagering,"Casino Queen, Inc.",8994,18683,467,260,2013,3689,2165,162,16021,306,0,0,0,0,April,4,2021
Wager Details,In-Person Wagering,Elgin Riverboat Resort,1673,3663,109,59,368,649,352,44,0,0,52,0,0,0,April,4,2021
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",1429,798,78,28,526,346,82,9,6137,37,32,0,0,0,April,4,2021
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",5273,8225,101,16,0,1819,94,0,3134,0,48,0,0,0,April,4,2021
Wager Details,In-Person Wagering,"HC Aurora, LLC",4159,3450,136,36,397,365,2402,91,1657,25,84,0,0,0,April,4,2021
Wager Details,In-Person Wagering,"HC Joliet, LLC",3154,3872,217,66,674,556,1046,30,1944,7,142,0,0,0,April,4,2021
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",16367,20718,1369,270,2273,3535,8134,2169,11586,145,100,0,0,0,April,4,2021
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,546,424,44,4,227,48,35,15,2238,31,24,0,0,0,April,4,2021
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,April,4,2021
Wager Details,Online Wagering,"Casino Queen, Inc.",938436,1043275,104969,61192,344397,179749,229070,122263,1951658,122503,24779,0,0,0,April,4,2021
Wager Details,Online Wagering,Elgin Riverboat Resort,24216,18214,1444,997,2599,5931,3181,1347,0,10,192,0,0,0,April,4,2021
Wager Details,Online Wagering,"Fairmount Park, Inc.",547164,934561,71699,3372,180823,116303,139182,99468,4955414,149408,7072,0,0,0,April,4,2021
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",137983,133626,9279,6506,36399,33124,29436,12165,241452,44164,1228,0,0,0,April,4,2021
Wager Details,Online Wagering,"HC Aurora, LLC",250838,158754,20696,10063,98663,45216,35718,11489,356892,310088,4713,0,0,0,April,4,2021
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,April,4,2021
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",451674,414904,31889,10391,81963,110205,169102,84722,206198,2950,5704,0,0,0,April,4,2021
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April,4,2021
Wager Details,Total,"Alton Casino, LLC",6686,12334,337,230,1591,2117,496,81,7153,7,221,0,0,0,April,4,2021
Wager Details,Total,"Casino Queen, Inc.",947430,1061958,105436,61452,346410,183438,231235,122425,1967679,122809,24779,0,0,0,April,4,2021
Wager Details,Total,Elgin Riverboat Resort,25889,21877,1553,1056,2967,6580,3533,1391,0,10,244,0,0,0,April,4,2021
Wager Details,Total,"Fairmount Park, Inc.",548593,935359,71777,3400,181349,116649,139264,99477,4961551,149445,7104,0,0,0,April,4,2021
Wager Details,Total,"Hawthorne Race Course, Inc.",143256,141851,9380,6522,36399,34943,29530,12165,244586,44164,1276,0,0,0,April,4,2021
Wager Details,Total,"HC Aurora, LLC",254997,162204,20832,10099,99060,45581,38120,11580,358549,310113,4797,0,0,0,April,4,2021
Wager Details,Total,"HC Joliet, LLC",3154,3872,217,66,674,556,1046,30,1944,7,142,0,0,0,April,4,2021
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",468041,435622,33258,10661,84236,113740,177236,86891,217784,3095,5804,0,0,0,April,4,2021
Wager Details,Total,Par-A-Dice Gaming Corporation,546,424,44,4,227,48,35,15,2238,31,24,0,0,0,April,4,2021
